File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::FuseeWidget(QWidget *pParent),11,9,9,0,2,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::~FuseeWidget(void),1,1,1,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::GetCursorPos(),3,3,3,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::mousePressEvent(QMouseEvent * evt),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::mouseReleaseEvent(QMouseEvent * evt),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::keyPressEvent(QKeyEvent *evt),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::keyReleaseEvent(QKeyEvent *evt),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::resizeEvent(QResizeEvent *evt),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::OnIdle(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\FuseeWidget.cpp,FuseeWidget::SetTeapotColor(int color),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\main.cpp,"main(int argc, char *argv[])",9,7,7,1,2,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::QtApplication(QWidget *parent),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::~QtApplication(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::on_pushButton_clicked(),7,3,3,0,1,0,3,11,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::SliderChanged(),6,6,4,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::on_redSlider_valueChanged(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::on_greenSlider_valueChanged(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtApplication\QtApplication.cpp,QtApplication::on_blueSlider_valueChanged(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\MacroTest.cpp,func3(),7,5,5,0,2,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\MacroTest.cpp,func(),7,5,5,1,2,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,QtHostBridge::QtHostBridge(void *hwnd),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,QtHostBridge::SetMousePosQuery(MousePosQueryFunc pFunc),4,4,4,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"QtHostBridge::TriggerMouseDown(int button, int x, int y)",2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"QtHostBridge::TriggerMouseUp(int button, int x, int y)",2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,QtHostBridge::TriggerKeyDown(int vKey),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,QtHostBridge::TriggerKeyUp(int vKey),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"QtHostBridge::TriggerSizeChanged(int w, int h)",2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,QtHostBridge::TriggerIdle(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,QtHostBridge::SetTeapotColor(int color),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,AParamClass::AParamClass(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,AParamClass::DoSomething(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,AParamClass::DoSomethingElse(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,AParamClass::GetI(),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::MyClass(),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::MyClass(MyClassInternal *pImpl),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::~MyClass(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::SimpleMethod(double d),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::InterfaceMethod(double d),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::StringMethod(const char *str),4,3,3,1,0,0,1,4,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::BlittableMethod(MyBlittableStruct s),8,2,2,1,0,0,6,27,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::StructMethod(MyParamStruct s),8,3,3,1,0,0,5,14,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::ClassMethod(AParamClass *c),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::SetDelegate(FuseeQtHostBridge::MyDelegateType pfnMyDelegateType),5,5,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::CallDelegate(double d),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::set_I(int i),2,2,2,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyClass::get_I(),2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyCaller::MyCaller(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,MyCaller::~MyCaller(),3,3,3,0,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"MyCaller::InvokeCall(IMyInterface *pMI, double d)",3,2,2,1,0,0,1,1,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,CheckVersion(),13,8,6,1,0,0,5,10,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\QtHostBridge.cpp,"DllMain( HMODULE hModule, DWORD ul_reason_for_call, LPVOID lpReserved )",2,2,2,1,0,0,0,0,
D:\Dokumente\Git\Fusee_Fork\src\Engine\Examples\__Legacy\QtIntegration\QtHostCpp\CPPInteropImp.h,_CLASS_NAME_::_CLASS_NAME_(),2,2,1,0,0,0,0,0,
